,idAudible,nombreNarrador
397,325,SaeedJaffrey
398,325,RuskinBond
399,326,AnthonyHeald
400,327,DavidPittu
401,328,EmilyEllet
402,328,MichaelCrouch
403,329,LenForgione
404,330,BenD'Amico
405,331,I’keMitchell
406,332,DavidTennant
407,333,RamondeOcampo
408,334,TimGregory
409,335,JoanWalker
410,335,AdolfoDuncan
411,336,AldoLumbía
412,337,MiguelDurán
413,338,
414,339,TimGregory
415,340,JorjeanaMarie
416,341,TimGregory
417,342,EmmanuelleLemée
418,343,BenjaminHagberg
419,344,Carolin-ThereseWolff
420,345,MartaAlmazán
421,346,MartaAlmazán
422,347,MartaAlmazán
423,348,MartaAlmazán
424,349,RogerSerradell
425,350,OliverRohrbeck
426,351,DanielSmerdon
427,352,NickWalther
428,353,ЛюбовьПоволоцкая
429,354,Hans-PeterHain
430,355,JipvandenDool
431,356,LidewijMahler
432,357,ЛюбовьПоволоцкая
433,358,GabrielaJaskuła
434,359,ElenaSilva
435,360,CathrinBürger
436,361,ElenaSilva
437,362,BenjaminHagberg
438,363,HelenaOvalle
439,364,ArantxadeSarabia
440,365,ArantxadeSarabia
441,366,HelenaOvalle
442,367,LisaAhnlund
443,368,ЕленаДельвер
444,369,ИгорьСергеев
445,369,МаксимСергеев
446,370,
447,371,MontyArnold
448,372,JohnLalér
449,373,CarlosQuintero
450,374,BenjaminHagberg
451,375,BenjaminHagberg
452,376,BenjaminHagberg
453,377,МаксимСергеев
454,378,SebastianKarlsson
455,378,ЕленаДельвер
456,379,JenniferJillAraya
457,380,MayaGrant
458,380,MalinLybeck
459,381,DinsiemE
460,381,MathiasKlenske
461,382,MathiasKlenske
462,383,MathiasKlenske
463,384,NickWalther
464,385,CharlotteStrevens
465,386,HayleyWareham
466,386,MercèMontalà
467,387,KennethBøghAndersen
468,387,MarinaIuele
469,387,MartinJohs.Møller
470,387,SuzyJackson
471,388,Louane
472,389,AnnaSteen
473,389,JohnCormack
474,390,StefanKaminski
475,391,LauraMonedero
476,391,IbenHaaest
477,391,SebastianKarlsson
478,392,BenjaminHagberg
479,393,SebastianKarlsson
480,393,BeatrizOlcina
481,394,IreneMirasGuillén
482,395,MarionvonStengel
483,396,KateMalyon
484,397,CharlotteStrevens
485,398,CarmeAmbrós
486,399,MireiaMaymíiJosa
487,399,MireiaMaymíiJosa
488,400,CarmeAmbrós
489,401,TomHollander
490,401,АнатолийБелый
491,402,ЮлияЯблонская
492,402,НатальяРычкова
493,403,МаринаТитова
494,403,ЛюбовьПоволоцкая
495,404,ГригорийЕлисеев
496,405,КсенияБржезовская
497,406,ИгорьКнязев
498,407,МаринаТитова
499,408,ЮрийЛазарев
500,409,СеменМендельсон
501,410,ЕленаДельвер
502,411,СеменМендельсон
503,412,ЕленаХрусталева
504,413,КонстантинКорольков
505,414,DavidNathan
506,415,BrigitteCarlsen
507,416,HannahSchepmann
508,416,MacLeodAndrews
509,417,AnikaNoniRose
510,418,UveTeschner
